Year,Emission in kT
1990,2173360
1991,2302180
1992,2418180
1993,2645410
1994,2767670
1995,3088620
1996,3070510
1997,3134110
1998,3236280
1999,3153660
2000,3346530
2001,3529080
2002,3810060.05859375
2003,4415910.15625
2004,5124819.82421875
2005,5824629.8828125
2006,6437470.21484375
2007,6993180.17578125
2008,7199600.09765625
2009,7719069.82421875
2010,8474919.921875
2011,9282549.8046875
2012,9541870.1171875
2013,9984570.3125
2014,10006669.921875
2015,9861099.609375
2016,9874660.15625
2017,10096009.765625
2018,10502929.6875
2019,10707219.7265625
