Year,Emission in kT
1990,563580
1991,607230
1992,626290
1993,651350
1994,685900
1995,737860
1996,774070
1997,819270
1998,836270
1999,901330
2000,937860
2001,953540
2002,985450.012207031
2003,1011770.01953125
2004,1085670.04394531
2005,1136469.97070313
2006,1215209.9609375
2007,1336739.99023438
2008,1424380.00488281
2009,1564880.00488281
2010,1659979.98046875
2011,1756739.99023438
2012,1909439.94140625
2013,1972430.05371094
2014,2147110.10742188
2015,2158020.01953125
2016,2195250
2017,2320409.91210938
2018,2451929.93164063
2019,2456300.04882813
